ent.frame (Entity ID)	ent.slot (Property)	ent.short_value (Scale reference term ID)	Scale Top Class ID
http://who.int/icd#K22.2	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_128	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#1419_2985fd4a_87e8_4e76_ac83_2a5b74c14300	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1284	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K76.3	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1287	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K76.4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1290	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#5203_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1293	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I81	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1296	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#7650_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1299	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#13728_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_13	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I82.0	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1302	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K76.5	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1305	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K76.6	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1308	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K22.5	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_131	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#33121_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1311	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#7710_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1314	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#7725_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1317	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#7740_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1320	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#11715_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1323	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#7755_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1326	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#11682_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1329	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#5040_d4765700_5765_4591_9aab_337c39ce9c2a	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1332	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#11803_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1335	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#5192_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1338	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3960_890e173e_8bc7_44a1_9345_a738531fdd8e	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_134	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K76.7	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1341	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#11748_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1344	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#11759_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1347	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3127_8485ca45_4e2f_4137_b90e_effee792d3d2	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1350	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#1287_2985fd4a_87e8_4e76_ac83_2a5b74c14300	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1353	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
